winery	variety
Nicosia	White Blend
Quinta dos Avidagos	Portuguese Red
Rainstorm	Pinot Gris
St. Julian	Riesling
Sweet Cheeks	Pinot Noir
Tandem	Tempranillo-Merlot
Terre di Giurfo	Frappato
Trimbach	Gewürztraminer
Heinz Eifel	Gewürztraminer
Jean-Baptiste Adam	Pinot Gris
Kirkland Signature	Cabernet Sauvignon
Leon Beyer	Gewürztraminer
Louis M. Martini	Cabernet Sauvignon
Masseria Setteporte	Nerello Mascalese
Mirassou	Chardonnay
Richard Böcking	Riesling
Felix Lavaque	Malbec
Gaucho Andino	Malbec
Pradorey	Tempranillo Blend
Quiévremont	Meritage
Quiévremont	Red Blend
Acrobat	Pinot Noir
Baglio di Pianetto	White Blend
Bianchi	Merlot
Canicattì	Nero d'Avola
Castello di Amorosa	Pinot Noir
Stemmari	White Blend
Stemmari	Nero d'Avola
Terre di Giurfo	Red Blend
Clarksburg Wine Company	Chenin Blanc
Domaine de la Madone	Gamay
Duca di Salaparuta	Red Blend
Duca di Salaparuta	White Blend
Envolve	Red Blend
Envolve	Sauvignon Blanc
Erath	Pinot Noir
Estampa	Viognier-Chardonnay
Feudi del Pisciotto	Cabernet Sauvignon
Feudi di San Marzano	Primitivo
Feudo di Santa Tresa	Nero d'Avola
Feudo Montoni	Catarratto
Hawkins Cellars	Pinot Noir
Henry Fessy	Gamay
Robert Hall	Sauvignon Blanc
Sundance	Merlot
Tarara	Red Blend
Tasca d'Almerita	Inzolia
The White Knight	Riesling
Trump	Sauvignon Blanc
Vignerons de Bel Air	Gamay
Viticultori Associati Canicatti	Red Blend
Casa Silva	Petit Verdot
Cantine di Dolianova	Monica
Château de Sours	Bordeaux-style White Blend
Corvo	Red Blend
RustRidge	Chardonnay
Souverain	Chardonnay
Tasca d'Almerita	Grillo
Tres Palacios	Pinot Noir
Mellisoni	Malbec
Okapi	Cabernet Sauvignon
Podere dal Nespoli	Sangiovese
Ram	Cabernet Franc
Roland Champion	Champagne Blend
Sevtap	Sauvignon Blanc
Simonnet-Febvre	Chardonnay
Vignerons des Terres Secrètes	Chardonnay
Basel Cellars	Bordeaux-style Red Blend
Cocobon	Red Blend
Collet	Champagne Blend
Drumheller	Chardonnay
Eco Terreno	Cabernet Sauvignon
Grifalco	Aglianico
Hindsight	Cabernet Sauvignon
Hindsight	Petite Sirah
Mulvane Wine Co.	Bordeaux-style Red Blend
Schmitt Söhne	Riesling
Yalumba	Chardonnay
Z'IVO	Pinot Noir
Adega Cooperativa do Cartaxo	Touriga Nacional
Aresti	Carmenère
Spyro	Albariño
Lionel Osmin & Cie	Petit Manseng
Mitolo	Rosé
Napa Cellars	Zinfandel
P.J. Valckenberg	Riesling
Palencia	Albariño
Passaggio	Merlot
Poggio Alloro	Vernaccia
Fattoria Sardi	Rosato
Ferrari-Carano	Red Blend
Folie à Deux	Pinot Gris
Franciscan	Meritage
Fuchs	Grüner Veltliner
Gård	Viognier
Henry Fessy	Gamay
Henry Fessy	Gamay
Heron Hill	Riesling
