SYMBOL	GSM629719	GSM629721	GSM629723	GSM629726	GSM629728	GSM629730	GSM629732	GSM629722	GSM629724	GSM629725	GSM629727	GSM629729	GSM629735
A2M	10.78260282	12.22470603	11.7278965	11.80759986	12.06478683	12.17048488	12.26892023	10.22255026	10.1967683	11.93931108	10.36652875	10.59471414	10.41633645
A4GALT	7.468263997	7.076519285	7.529791014	7.172450872000001	7.073429531	6.980552749	6.625027879	6.4353027560000005	6.828312925	7.086717874	6.331258726000001	6.960688442	6.403039685
AAAS	7.608571855	7.784314525	7.958451455	8.025648931000001	8.018629808	7.37539278	7.705604651	7.230927922	7.441335264	7.459882481	7.239895317999999	7.24441943	7.352893217
AACS	8.400527992	8.413254632000001	8.387643953	8.548757127	8.047158929	7.6825269679999995	7.448159033	8.127974061	8.168758385	8.223162193	8.095394015	8.243136113	8.182276649
AAGAB	6.292120734000001	5.599561404	6.0038528225	5.749613154	5.339957211	6.0869705640000005	5.7905685185	6.2715550755	6.1192892775	6.393994134	6.413306157499999	6.314709979	6.468348595
AAK1	6.816669722	7.339914093999999	7.300121453499999	7.0938255005	7.056423026499999	7.208761439	7.4342162695	6.986257931500001	7.175932670500001	7.407169862	7.143656248	7.145449399	6.9887859135
AAMDC	7.972475707	7.829598471000001	8.834090089499998	8.068146092500001	8.300575550000001	7.8494431805	8.1759681585	7.7132588595	7.3934798805	7.0182893285	7.8005076515	7.562290953	7.8460763175
AAMP	7.874808674	8.55578802	9.656600198	8.776265311	9.399867096	8.867653025	8.581168621	8.541195557	8.648048674	8.394638578	8.364309493	8.529053999999999	8.476233484
AAR2	8.598220694	8.816643278999999	9.186407492	9.129045601	9.005523789	8.320085065	8.282890825	7.911581904	7.886813862	8.399691294	7.971481654	7.875619055	7.952103352000001
AARS	9.38143269	9.502640036	9.215473243	9.737982055	9.432694932999999	8.801632111	8.761610597999999	8.650067967	8.602241617	8.434989182999999	8.440402145	8.548383127000001	8.587317424
AARSD1	7.649706424	7.759478287	8.264902046	8.119471057	8.074184345	7.295822583	7.608345408	7.25915828	7.0151321079999995	7.378077235	6.906688718	6.840954977000001	7.329715856
AASDHPPT	8.002914992000001	7.268275785	6.198359121	7.0518079065	7.086768442	8.0228700265	8.199297345	9.312632983	8.9978165755	8.92709415	9.3538125145	8.853358509	9.3136668605
AASS	5.663273201	5.51361572	4.8959476395	5.4452024255	5.6124260275	5.9239530474999995	6.998837862	6.77480216	6.1520978255	6.725110374	6.760159031	5.8768448735	6.658477465
AATF	8.480118354	8.745015957	8.556326841	8.854014083	8.695910361000001	8.469741317999999	8.243796841	7.650181022999999	7.97594657	8.214312289	7.6627099770000004	7.976359259	7.801633459
AATK	6.915268127	6.963094981	7.739350585	7.387314709	7.573177466000001	6.811706257000001	6.8252383210000005	6.049763218	6.565444069	7.162320136	6.3069988310000005	6.693410002999999	6.224346832999999
ABAT	6.524170544	6.261922701	6.0479139995	6.151225846499999	6.4512193435	6.579402344	6.7406523195000005	7.4300558125	6.788326973	7.8024065405	7.751063115499999	6.8473175525	7.382426254
ABCA1	6.318028656499999	6.27327484	6.2280901265	6.194369932000001	7.7325658194999995	8.115609322500001	8.003036685	7.929471425999999	6.94171883	7.748134684499999	8.3055025165	7.716747859	7.8227384445000006
ABCA11P	5.408940342999999	5.452271822999999	4.534726264	5.273423227	5.255222165	5.453044182999999	6.611108235	5.799040607	7.014792295	5.184535973	6.116585236000001	6.557691362999999	6.194578793
ABCA2	5.7730674365	5.9554534875	6.2105926195	6.247199805999999	6.1662906170000005	5.6505694465	5.7079262505	5.4411330985	5.5900954765	5.9034501845000005	5.4887201349999994	5.823204534	5.372592179
ABCA3	7.326788399	7.326313786	7.743164029	7.681040754	7.841609537	7.248606621	7.070210534	6.0634484429999995	6.751700635	7.190340054	6.752887017999999	6.821268723999999	6.273809633
ABCA5	6.127550138999999	5.477748839	4.380677824	4.922236402	5.107374388	6.01868926	6.964145789	7.859044664	8.717969005	7.444723978	7.893452022999999	8.673191952	7.585867094
ABCA7	6.74370458	6.499917077	6.636689507000001	6.488486647999999	6.492926128	6.411123766	6.091597765	6.23423637	6.711043397	6.858225465	6.217637033	6.932730865	6.367987428999999
ABCA8	6.95296368	8.58730642	8.532704651	8.636001307	10.30695285	9.455906764	9.385322002999999	6.382187489	8.678787769	7.832443457999999	7.018778658	8.200458689	6.11581736
ABCB1	5.490213795	6.383605588	5.9032927275	6.0764330394999995	5.731648035	7.142660061000001	7.0002564955	5.4304158535	5.0306990935	6.5713466775	5.325287926500001	4.611556562500001	5.4068887315000005
ABCB6	6.3618974035	6.486739564	6.579307291999999	6.8912675645	7.0052867295	6.070085323	6.2657125035000005	5.916660325	5.5959534435	5.964792932	5.906899637	5.8153822025	5.9564179799999994
ABCB7	8.632390819	7.593015801	7.512753162	7.687991487000001	7.708910157	8.497631351	8.710249323	8.688374814	8.561253105	8.345391366	8.856048616	8.505472649	8.68676609
ABCB8	6.215917277000001	5.922926157000001	6.17979923	6.131597364	6.170356974	5.620828181	5.578166846	5.746460368999999	5.646184507	5.526538276	5.623378664	5.49923596	5.576816612000001
