targetId	gid	giAcc	refseq	symbol	geneid	chr	cytoband	startpos	stoppos	description	control_det_rate	case_det_rate	venn_state
GI_42491369-S	GI_42491369-S	GI_42491369	NM_201628.1	FLJ43806	399563	1	1p36.21	0	0	hypothetical protein FLJ43806	0.914894	0.948864	both
GI_38348377-S	GI_38348377-S	GI_38348377	NM_198543.1	LOC148872	374939	1	1p36.32	0	0	LOC148872 protein	0.968085	0.880682	control
GI_31377558-S	GI_31377558-S	GI_31377558	NM_153248.2	MGC14276	253150	1	1p34.3	0	0	hypothetical protein MGC14276	1.00000	1.00000	both
GI_22749342-S	GI_22749342-S	GI_22749342	NM_152661.1	DKFZp761G0122	199986	1	1p36.32	0	0	hypothetical protein DKFZp761G0122	0.957447	0.818182	control
GI_23308520-S	GI_23308520-S	GI_23308520	NM_153014.1	FLJ30634	148697	1	1q32.2	0	0	hypothetical protein FLJ30634	1.00000	1.00000	both
GI_31341099-S	GI_31341099-S	GI_31341099	NM_173795.2	FLJ32096	148646	1	1p36.31	0	0	chromosome 1 open reading frame 188	0.994681	0.988636	both
GI_13654285-S	GI_13654285-S	GI_13654285	NM_031214.1	AF311304	81927	1	1p36.22	0	0	hypothetical protein AF311304	0.994681	0.994318	both
GI_13376557-S	GI_13376557-S	GI_13376557	NM_025032.1	FLJ21272	80100	1	1q21.2	0	0	hypothetical protein FLJ21272	0.978723	0.982955	both
GI_13376553-S	GI_13376553-S	GI_13376553	NM_025030.1	FLJ20972	80098	1	1p34.2	0	0	prefoldin subunit 6-like	1.00000	1.00000	both
GI_21359956-S	GI_21359956-S	GI_21359956	NM_024569.2	FLJ21047	79620	1	1q23.3	0	0	hypothetical protein FLJ21047	0.984043	0.931818	both
GI_37548529-S	GI_37548529-S	GI_37548529	XM_290923.2	KIAA1639	57729	1	1q42.13	0	0	KIAA1639 protein	0.994681	0.982955	both
GI_40254935-S	GI_40254935-S	GI_40254935	NM_020683.3	AD026	57413	1	1p13.2	0	0	AD026 protein	0.952128	0.920455	both
GI_7661813-S	GI_7661813-S	GI_7661813	NM_014179.1	HSPC157	29092	1	1p36.12	0	0	HSPC157 protein	1.00000	1.00000	both
GI_4557380-S	GI_4557380-S	GI_4557380	NM_001213.1	C1orf1	711	1	null	0	0	chromosome 3 open reading frame 51	0.957447	0.943182	both
GI_7661605-S	GI_7661605-S	GI_7661605	NM_015658.1	DKFZP564C186	26155	1	1p36.33	869458	884493	nucleolar complex associated 2 homolog (S. cerevisiae)	0.994681	1.00000	both
GI_38194228-S	GI_38194228-S	GI_38194228	NM_198317.1	LOC339451	339451	1	1p36.33	885829	890957	kelch-like 17 (Drosophila)	1.00000	1.00000	both
GI_20127596-S	GI_20127596-S	GI_20127596	NM_021170.2	Hes4	57801	1	1p36.33	924206	925332	hairy and enhancer of split 4 (Drosophila)	1.00000	1.00000	both
GI_4826773-S	GI_4826773-S	GI_4826773	NM_005101.1	G1P2	9636	1	1p36.33	938741	939781	ISG15 ubiquitin-like modifier	1.00000	1.00000	both
GI_37546731-S	GI_37546731-S	GI_37546731	XM_351885.1	LOC375790	375790	1	1p36.33	945365	981354	agrin	1.00000	1.00000	both
GI_23238193-A	GI_23238193-A	GI_23238193	NM_148901.1	TNFRSF18	8784	1	1p36.3	1128750	1131951	"tumor necrosis factor receptor superfamily, member 18"	0.973404	0.818182	control
GI_18699731-A	GI_18699731-A	GI_18699731	NM_016176.2	Cab45	51150	1	1p36.33	1142150	1157273	stromal cell derived factor 4	1.00000	1.00000	both
